"State_Name","Year","month","Assembly_No","DelimID","Constituency_No","Poll_No","Position","Candidate","Sex","Party","Votes","Age","Candidate_Type","Valid_Votes","Electors","Constituency_Name","Constituency_Type","District_Name","Sub_Region","N_Cand","Turnout_Percentage","Vote_Share_Percentage","Deposit_Lost","Margin","Margin_Percentage","ENOP","pid","Normalized_Party"
"Maharashtra",2014,10,12,4,1,0,1,"PADAVI ADV. K.C.","M","INC",64410,57,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,36.79,"no",15775,9.01,4,"AEMH84202","INC"
"Maharashtra",2014,10,12,4,1,0,2,"PARADAKE VIJAYSING RUPSING","M","NCP",48635,47,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,27.78,"no",15934,9.1,4,"AEMH84203","NCP"
"Maharashtra",2014,10,12,4,1,0,3,"PADAVI NAGESH DILWARSING","M","BJP",32701,39,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,18.68,"no",22352,12.77,4,"AEMH84204","BJP"
"Maharashtra",2014,10,12,4,1,0,4,"AAMSHYA FULJI PADAVI","M","SHS",10349,46,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,5.91,"yes",2444,1.4,4,"AEMH84205","SHS"
"Maharashtra",2014,10,12,4,1,0,5,"PADAVI NARENDRASING BHAGATSING","M","IND",7905,55,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,4.51,"yes",3744,2.14,4,"AEMH84206","IND"
"Maharashtra",2014,10,12,4,1,0,6,"None of the Above","","NOTA",4161,,"",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,2.38,"yes",2135,1.22,4,"","NOTA"
"Maharashtra",2014,10,12,4,1,0,7,"MAMATA RAVINDRA VALAVI","F","MNS",2026,38,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,1.16,"yes",65,0.04,4,"AEMH84207","MNs"
"Maharashtra",2014,10,12,4,1,0,8,"MADAN JAHANGIR PADAVI","M","IND",1961,41,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,1.12,"yes",195,0.11,4,"AEMH84208","IND"
"Maharashtra",2014,10,12,4,1,0,9,"PADAVI MADHUKAR SHAMSING","M","IND",1766,43,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,1.01,"yes",588,0.34,4,"AEMH84209","IND"
"Maharashtra",2014,10,12,4,1,0,10,"ADV. RANJIT JUGLA PADAVI","M","BMUP",1178,35,"ST",175092,247070,"AKKALKUWA","ST","NANDURBAR","KHANDESH",9,70.87,0.67,"yes",0,0,4,"AEMH84210","BMUP"
